id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
92359503-8735-417f-830c-98dd3f100f6b,Split,6,4,14,6,Bronze,2.0,119.0,0,1,0,3,13,1,0,4
3c687180-0d87-4bd8-9246-93fc5d84851f,Abyss,10,3,7,2,Bronze,2.0,165.0,1,1,1,10,3,1,0,4
242a9055-9c98-4874-bfbd-12a22e64abdf,Haven,12,6,17,15,Bronze,2.0,166.435,0,0,0,10,13,1,0,4
f5b0eb24-edbe-4ac3-9941-0430a6f152aa,Sunset,14,9,21,14,Bronze,2.0,174.391,0,5,0,10,13,1,0,4
21a2e03c-dc7a-4776-a400-54299e095d86,Split,12,5,13,11,Unrated,,198.111,4,1,1,13,5,1,0,4
757d8158-3300-46b2-84d7-d03deefc198c,Sunset,5,1,15,2,Bronze,2.0,98.25,1,4,0,3,13,0,0,4
b25a327c-55cb-4051-bd29-97d15268d36a,Summit,14,10,23,10,Bronze,2.0,187.5,4,4,0,12,14,1,0,4
46e4d085-1b6f-4c68-b351-5edff9737cf4,Sunset,8,3,7,4,Bronze,2.0,143.5,1,3,1,10,3,1,0,4
0a30c35f-586f-48e7-b100-5e9e200aa8d2,Summit,14,3,16,8,Bronze,2.0,168.125,1,4,2,13,11,0,0,4
5039e1fa-c50b-416a-a703-5c2199c3f771,Abyss,14,7,16,9,Bronze,2.0,195.273,1,1,0,9,13,1,0,4
8e42f58b-c82b-43dc-86cc-2f7cfc29c3fd,Abyss,11,5,20,25,Bronze,1.0,189.895,2,5,0,6,13,1,0,4
120c74e7-f5b8-40dc-adf6-fe43a7a0265b,Summit,14,5,6,21,Bronze,1.0,289.4,2,0,1,10,2,1,0,4
8603c734-a291-42c4-ade9-87c4386c001e,Haven,18,2,8,12,Bronze,1.0,326.071,3,1,2,13,1,1,0,4
0f7e4124-4bff-4e0a-9c05-0f183701f116,Ascent,10,5,13,8,Bronze,1.0,220.857,1,0,0,1,13,1,0,4
a7f3c7fd-4970-40e3-90e0-8a7b92fb4187,Summit,28,3,15,26,Bronze,1.0,340.591,2,1,0,9,13,1,0,4
