id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
3abc8299-0fd2-4480-b9aa-4a5c2492b6f6,NotCallMeKevv,Fracture,Competitive,Jett,Duelista,16,3,13,10,"['OnlyWhenHigh', 'Papa Gianca', 'luckyfraz', 'MrPawa']",Platinum,3.0,"['Chamber', 'Phoenix', 'Jett', 'Brimstone', 'Breach']",193.591,3,4,1,13,9,,
eb701524-28f9-42f6-afb7-31513486d5a8,NotCallMeKevv,Pearl,Competitive,Reyna,Duelista,21,7,19,19,"['Papa Gianca', 'luckyfraz', 'MrPawa', 'tepuzzalacella']",Platinum,3.0,"['Sova', 'Reyna', 'Brimstone', 'Breach', 'Raze']",256.542,4,2,0,11,13,,
82ab8458-b655-4d15-afbc-079826936df0,NotCallMeKevv,Haven,Competitive,Jett,Duelista,12,1,20,8,"['Papa Gianca', 'MrPawa', 'tepuzzalacella', 'luckyfraz']",Platinum,3.0,"['Cypher', 'Breach', 'Reyna', 'Jett', 'Brimstone']",165.864,4,2,0,9,13,,
5d98db81-fd46-4b99-b758-879d33c737ef,NotCallMeKevv,Lotus,Competitive,Chamber,Centinela,23,2,17,13,"['SAD', 'chemkin', 'awe', 'MrPawa']",Platinum,3.0,"['Jett', 'Chamber', 'Clove', 'Phoenix', 'Breach']",232.885,2,1,1,14,12,,
32be6ea9-89ea-406e-9d4c-df8230795197,NotCallMeKevv,Split,Competitive,Chamber,Centinela,21,4,18,14,"['sxdwsky', 'R3dwolfita', 'luckyfraz', 'SweetAndThick']",Diamond,1.0,"['Chamber', 'Breach', 'Reyna', 'Brimstone', 'Jett']",212.964,2,1,1,15,13,1781221729.0,"Thursday, June 11, 2026 11:48 PM"
26f95c48-8d7b-49b1-871a-babab7a184f9,NotCallMeKevv,Breeze,Competitive,Reyna,Duelista,14,4,13,11,"['sxdwsky', 'luckyfraz', 'kurapika', 'R3dwolfita']",Diamond,1.0,"['Breach', 'Miks', 'Jett', 'Chamber', 'Reyna']",252.438,1,2,0,3,13,1781219606.0,"Thursday, June 11, 2026 11:13 PM"
0cdd600f-a5ed-471d-a074-add31096aae4,NotCallMeKevv,Pearl,Competitive,Jett,Duelista,14,3,17,11,"['Knox', 'Minamo0o', 'Papa Gianca', 'MrPawa']",Diamond,1.0,"['Omen', 'Iso', 'Jett', 'Cypher', 'Breach']",199.2,3,4,0,7,13,1781215422.0,"Thursday, June 11, 2026 10:03 PM"
c6bed165-9c7c-4f01-84c9-3324f3ed194f,NotCallMeKevv,Haven,Competitive,Chamber,Centinela,12,5,17,8,"['Nyx', 'Karosas', 'Sega', 'MrPawa']",Platinum,3.0,"['Jett', 'Clove', 'Phoenix', 'Chamber', 'Breach']",166.348,4,3,1,13,10,1781212345.0,"Thursday, June 11, 2026 09:12 PM"
1435bad2-97eb-44ce-9bc5-3b2f2cbe59d3,NotCallMeKevv,Fracture,Competitive,Chamber,Centinela,22,3,16,15,"['Mid Ekko', 'MrPawa', 'Cringe Judge', 'AkeZz']",Platinum,3.0,"['Jett', 'Breach', 'Omen', 'Fade', 'Chamber']",251.667,2,1,2,13,11,1781209731.0,"Thursday, June 11, 2026 08:28 PM"
5c6725e4-284d-499e-a8fa-894752df79db,NotCallMeKevv,Ascent,Competitive,Jett,Duelista,14,4,17,13,"['brachz', 'MrPawa', 'InDenial', 'Philiopolis']",Diamond,1.0,"['Chamber', 'Breach', 'Omen', 'Reyna', 'Jett']",204.143,0,5,0,8,13,1781262632.0,"Friday, June 12, 2026 11:10 AM"
aa4e77b4-a2e0-4012-8293-235ab2afde1a,NotCallMeKevv,Haven,Competitive,Chamber,Centinela,13,1,14,7,"['MrPawa', 'Winchy', 'DYorickYone', 'Papa Gianca']",Diamond,1.0,"['Breach', 'Omen', 'Reyna', 'Phoenix', 'Chamber']",204.353,2,1,0,4,13,1781281050.0,"Friday, June 12, 2026 04:17 PM"
b764cb0e-adbe-4120-8156-d7cdd60c805b,NotCallMeKevv,Ascent,Competitive,Chamber,Centinela,19,2,19,15,"['Papa Gianca', 'MrPawa', 'ZIO Feno', 'Winchy']",Diamond,1.0,"['Phoenix', 'Breach', 'Chamber', 'Jett', 'Omen']",236.667,5,2,0,11,13,1781277347.0,"Friday, June 12, 2026 03:15 PM"
9e6f098c-f961-4511-8514-2bb456f4ea3f,NotCallMeKevv,Fracture,Competitive,Chamber,Centinela,19,4,17,10,"['5oupz', 'Hades', 'MrPawa', 'Pelagia']",Platinum,3.0,"['Raze', 'Reyna', 'Chamber', 'Breach', 'Omen']",230.0,4,1,1,13,11,1781359389.0,"Saturday, June 13, 2026 02:03 PM"
dab3781d-f5f7-4c99-972b-d33206836d0b,NotCallMeKevv,Lotus,Competitive,Chamber,Centinela,22,1,13,13,"['Papa Gianca', 'luckyfraz', 'Chopper ツ', 'Traxinator2999']",Platinum,3.0,"['Phoenix', 'Brimstone', 'Sova', 'Chamber', 'Clove']",227.0,4,3,1,14,12,1781478876.0,"Sunday, June 14, 2026 11:14 PM"
